peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
3.076,0.083,46,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.158,0.082,47,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.238,0.08,48,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.316,0.079,49,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.394,0.077,50,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.47,0.076,51,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.544,0.074,52,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.617,0.073,53,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.688,0.071,54,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.756,0.069,55,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.823,0.067,56,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.887,0.064,57,Hembra,0,ROSS - 2017,1,,-1,Poultry
3.95,0.062,58,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.01,0.06,59,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.068,0.058,60,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.124,0.056,61,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.177,0.054,62,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.229,0.052,63,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.278,0.049,64,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.325,0.047,65,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.37,0.045,66,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.413,0.043,67,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.453,0.04,68,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.491,0.038,69,Hembra,0,ROSS - 2017,1,,-1,Poultry
4.528,0.036,70,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.043,0.0,0,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.055,0.012,1,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.07,0.015,2,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.088,0.018,3,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.109,0.021,4,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.132,0.024,5,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.159,0.027,6,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.189,0.03,7,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.222,0.033,8,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.259,0.036,9,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.298,0.039,10,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.34,0.043,11,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.386,0.046,12,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.435,0.049,13,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.488,0.052,14,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.544,0.056,15,Mixto,0,ROSS - 2017,1,,-1,Poultry
