"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","codigoConstruccion","tipoClima","codigoZonaGeografica","zonaGeografica","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","crecimiento","peso","conversion","conversionAcumulada","raza","anio","temperaturaDeseada","stock","kilogramosCarne","ventilacionMinima","ventiladoresFuncionando","porcentajeOperacionRequerida","porcentajeOperacionRequeridaTotal","tiempoEncendido","tiempoApagado","cicloVentilacion","active","created_at","updated_at"
720,ROSS - 2017,1,51,1,Hembra,1,,-1,Sin Información,0.215,6.384,0.43,12.79,0.076,0.068,,3.47,1.84,1.84,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:11"
721,ROSS - 2017,1,52,1,Hembra,1,,-1,Sin Información,0.215,6.6,0.43,13.22,0.074,0.068,,3.544,1.862,1.862,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:46"
722,ROSS - 2017,1,53,1,Hembra,1,,-1,Sin Información,0.216,6.816,0.432,13.652,0.073,0.068,,3.617,1.885,1.885,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:38"
723,ROSS - 2017,1,54,1,Hembra,1,,-1,Sin Información,0.217,7.032,0.434,14.086,0.071,0.068,,3.688,1.907,1.907,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:22"
724,ROSS - 2017,1,55,1,Hembra,1,,-1,Sin Información,0.217,7.249,0.434,14.52,0.069,0.068,,3.756,1.93,1.93,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:29"
725,ROSS - 2017,1,56,1,Hembra,1,,-1,Sin Información,0.217,7.466,0.434,14.954,0.067,0.068,,3.823,1.953,1.953,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:07"
726,ROSS - 2017,1,57,1,Hembra,1,,-1,Sin Información,0.217,7.683,0.434,15.388,0.064,0.068,,3.887,1.976,1.976,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:21"
727,ROSS - 2017,1,58,1,Hembra,1,,-1,Sin Información,0.217,7.9,0.434,15.822,0.062,0.068,,3.95,2.0,2.0,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:34"
728,ROSS - 2017,1,59,1,Hembra,1,,-1,Sin Información,0.217,8.117,0.434,16.256,0.06,0.068,,4.01,2.024,2.024,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:08"
729,ROSS - 2017,1,60,1,Hembra,1,,-1,Sin Información,0.217,8.334,0.434,16.69,0.058,0.068,,4.068,2.049,2.049,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:16"
730,ROSS - 2017,1,61,1,Hembra,1,,-1,Sin Información,0.216,8.551,0.432,17.122,0.056,0.068,,4.124,2.074,2.074,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:44"
731,ROSS - 2017,1,62,1,Hembra,1,,-1,Sin Información,0.216,8.767,0.432,17.554,0.054,0.067,,4.177,2.099,2.099,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:42"
732,ROSS - 2017,1,63,1,Hembra,1,,-1,Sin Información,0.216,8.983,0.432,17.986,0.052,0.067,,4.229,2.124,2.124,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:46"
733,ROSS - 2017,1,64,1,Hembra,1,,-1,Sin Información,0.215,9.198,0.43,18.416,0.049,0.067,,4.278,2.15,2.15,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:58"
734,ROSS - 2017,1,65,1,Hembra,1,,-1,Sin Información,0.215,9.413,0.43,18.846,0.047,0.067,,4.325,2.176,2.176,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:39"
735,ROSS - 2017,1,66,1,Hembra,1,,-1,Sin Información,0.214,9.627,0.428,19.274,0.045,0.066,,4.37,2.203,2.203,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:38"
736,ROSS - 2017,1,67,1,Hembra,1,,-1,Sin Información,0.214,9.841,0.428,19.702,0.043,0.066,,4.413,2.23,2.23,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:01"
737,ROSS - 2017,1,68,1,Hembra,1,,-1,Sin Información,0.213,10.054,0.426,20.128,0.04,0.065,,4.453,2.258,2.258,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:40"
738,ROSS - 2017,1,69,1,Hembra,1,,-1,Sin Información,0.213,10.267,0.426,20.554,0.038,0.065,,4.491,2.286,2.286,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:14"
739,ROSS - 2017,1,70,1,Hembra,1,,-1,Sin Información,0.212,10.48,0.424,20.978,0.036,0.065,,4.528,2.315,2.315,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:23"
740,ROSS - 2017,1,0,3,Mixto,1,,-1,Sin Información,0.011,0.0,0.022,0.022,0.0,0.0,,0.043,-1.0,-1.0,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-03-13 15:29:52"
741,ROSS - 2017,1,1,3,Mixto,1,,-1,Sin Información,0.014,0.014,0.028,0.05,0.012,0.055,,0.055,0.259,0.259,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:04"
742,ROSS - 2017,1,2,3,Mixto,1,,-1,Sin Información,0.017,0.032,0.034,0.084,0.015,0.035,,0.07,0.45,0.45,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:11"
743,ROSS - 2017,1,3,3,Mixto,1,,-1,Sin Información,0.02,0.051,0.04,0.124,0.018,0.029,,0.088,0.583,0.583,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:43"
